coordenadas,id_trayectoria
"(-79.881924,-2.137709)",163
"(-79.873495,-2.073044)",174
"(-79.88287,-2.140949)",149
"(-79.904029,-2.172584)",374
"(-79.88372,-2.12779)",147
"(-79.924141,-2.078226)",391
"(-79.870444,-2.07346)",22
"(-80.187542,-2.275822)",393
"(-79.886427,-2.148266)",148
"(-79.840279,-2.072266)",129
"(-79.882224,-2.133529)",188
"(-79.871129,-2.11185)",160
"(-79.87408,-2.098874)",138
"(-79.887657,-2.156872)",177
"(-79.872912,-2.105359)",192
"(-79.873667,-2.090847)",441
"(-79.873645,-2.08912)",445
"(-79.885944,-2.14673)",215
"(-79.868839,-2.1162)",154
"(-79.895109,-2.166895)",384
"(-79.861119,-2.07519)",139
"(-79.833672,-2.069224)",215
"(-79.895377,-2.164594)",163
"(-79.870815,-2.112722)",153
"(-79.856447,-2.074545)",141
"(-79.895626,-2.163624)",59
"(-79.845984,-2.073861)",133
"(-79.893567,-2.132187)",211
"(-79.87366,-2.08297)",451
"(-79.886342,-2.151592)",198
"(-79.924563,-2.19483)",370
"(-79.842285,-2.072464)",34
"(-79.857985,-2.075489)",145
"(-79.873955,-2.095132)",197
"(-79.895052,-2.166435)",161
"(-80.342002,-2.37746)",394
"(-79.885034,-2.12875)",138
"(-79.894997,-2.13209)",224
"(-79.897491,-2.183254)",354
"(-79.879787,-2.126459)",189
"(-79.886307,-2.147932)",441
"(-79.871355,-2.073325)",186
"(-79.867329,-2.118789)",147
"(-79.895289,-2.164775)",123
"(-79.842157,-2.072302)",130
"(-79.885947,-2.128952)",141
"(-79.885062,-2.128822)",58
"(-79.885972,-2.129587)",156
"(-79.873577,-2.08574)",318
"(-79.84467,-2.073447)",394
"(-79.870859,-2.1125)",170
"(-79.847504,-2.074075)",65
"(-79.894007,-2.167864)",185
"(-79.870882,-2.073392)",204
"(-79.873595,-2.0861)",171
"(-79.873744,-2.08132)",216
"(-79.899549,-2.200806)",341
"(-79.88435,-2.143702)",210
"(-79.871297,-2.125154)",184
"(-79.885587,-2.146035)",134
"(-79.873922,-2.100321)",451
"(-79.906667,-2.21935)",361
"(-79.884764,-2.129329)",172
"(-79.868314,-2.117059)",319
"(-79.873829,-2.07414)",22
"(-79.873955,-2.095132)",219
"(-79.850326,-2.074402)",122
"(-79.886007,-2.129577)",182
"(-79.881942,-2.126742)",226
"(-79.873719,-2.081902)",133
"(-79.877405,-2.126122)",188
"(-79.873924,-2.095539)",138
"(-79.832402,-2.068402)",159
"(-79.837569,-2.072666)",181
"(-79.844444,-2.073422)",437
"(-79.883895,-2.142834)",194
"(-79.860575,-2.075401)",385
"(-79.896954,-2.138344)",448
"(-79.896722,-2.199075)",347
"(-79.882084,-2.135182)",218
"(-79.882767,-2.133074)",168
"(-79.88621,-2.153854)",218
"(-79.886595,-2.149862)",385
"(-79.907207,-2.219269)",360
"(-79.833679,-2.067702)",127
"(-79.838424,-2.072492)",181
"(-79.880692,-2.126572)",202
"(-79.891012,-2.162697)",451
"(-79.873867,-2.094045)",58
"(-79.872059,-2.108897)",187
"(-79.842062,-2.072182)",191
"(-79.83368,-2.068087)",201
"(-79.834757,-2.072745)",194
"(-79.886025,-2.129112)",147
"(-79.883654,-2.142387)",171
"(-79.895415,-2.132326)",126
"(-79.841304,-2.072215)",151
"(-79.842062,-2.072182)",125
"(-79.92351,-2.164924)",352
"(-79.88564,-2.129429)",216
"(-79.873627,-2.084614)",213
"(-79.895072,-2.132245)",160
"(-79.890477,-2.047977)",391
"(-79.873894,-2.075691)",146
"(-79.83235,-2.069002)",26
"(-79.87378,-2.091717)",131
"(-79.89425,-2.136337)",447
"(-79.845992,-2.073864)",188
"(-79.856832,-2.074724)",180
"(-79.849692,-2.0742)",454
"(-80.207524,-2.292312)",393
"(-79.87267,-2.07315)",219
"(-79.874045,-2.098665)",451
"(-79.895779,-2.163865)",158
"(-79.893267,-2.167735)",147
"(-79.895716,-2.129104)",217
"(-79.892192,-2.164902)",409
"(-79.873674,-2.089895)",202
"(-79.839847,-2.072289)",155
"(-79.860169,-2.075569)",147
"(-79.88655,-2.148794)",384
"(-79.878097,-2.126224)",145
"(-79.907132,-2.048642)",391
"(-79.83306,-2.067959)",180
"(-79.88285,-2.127062)",214
"(-79.925484,-2.163517)",351
"(-79.8951,-2.167015)",441
"(-79.832194,-2.068396)",147
"(-79.867359,-2.122882)",181
"(-79.880729,-2.126584)",173
"(-79.887339,-2.156287)",181
"(-79.873657,-2.083745)",68
"(-79.837254,-2.072732)",453
"(-79.895162,-2.12979)",227
"(-79.879629,-2.126445)",436
"(-79.897452,-2.183176)",355
"(-79.867744,-2.118009)",207
"(-79.883607,-2.127697)",208
"(-79.948042,-2.095077)",391
"(-79.882984,-2.118974)",442
"(-79.888442,-2.131624)",445
"(-79.892164,-2.165807)",442
"(-79.869582,-2.073587)",437
"(-79.83368,-2.067786)",161
"(-79.88372,-2.12779)",135
"(-79.873849,-2.07714)",143
"(-79.873507,-2.102679)",442
"(-79.895367,-2.164604)",150
"(-79.898052,-2.198335)",450
"(-79.870829,-2.112659)",393
"(-79.865019,-2.074209)",318
"(-79.882116,-2.134855)",197
"(-79.882367,-2.139925)",154
"(-79.92035,-2.087314)",57
"(-79.867134,-2.11926)",223
"(-79.874074,-2.099197)",196
"(-79.891985,-2.176253)",380
"(-79.883779,-2.142615)",185
"(-79.873369,-2.103339)",454
"(-79.874072,-2.097707)",124
"(-79.850795,-2.074675)",208
"(-79.841474,-2.072107)",384
"(-79.873612,-2.085467)",161
"(-79.948867,-2.120277)",391
"(-79.873749,-2.073454)",211
"(-79.893845,-2.190112)",370
"(-79.863675,-2.074412)",166
"(-79.892029,-2.131675)",142
"(-79.86533,-2.0742)",175
"(-79.874007,-2.097229)",122
"(-79.895279,-2.164694)",451
"(-79.895697,-2.13215)",188
"(-79.898346,-2.157736)",366
"(-79.872504,-2.107126)",187
"(-79.87385,-2.074427)",150
"(-79.8914,-2.132642)",128
"(-79.895789,-2.16385)",131
"(-79.849024,-2.074179)",182
"(-79.891934,-2.164224)",154
"(-79.894145,-2.131302)",169
"(-79.844932,-2.073455)",140
"(-79.883714,-2.133157)",216
"(-79.89501,-2.166164)",194
"(-79.955694,-2.087457)",364
"(-79.873872,-2.125662)",138
"(-79.885979,-2.128982)",148
"(-79.831962,-2.069005)",440
"(-79.892242,-2.131734)",225
"(-79.895306,-2.163577)",442
"(-79.866694,-2.12002)",393
"(-79.8943,-2.13088)",158
"(-79.968542,-2.131917)",368
"(-79.863852,-2.07436)",445
"(-79.873495,-2.073044)",165
"(-79.873652,-2.09059)",442
"(-79.894924,-2.130082)",136
"(-79.83306,-2.067959)",204
"(-79.842027,-2.07239)",63
"(-79.845094,-2.07357)",139
"(-79.868917,-2.115887)",161
"(-79.872739,-2.106144)",185
"(-79.883404,-2.127525)",127
"(-79.882237,-2.133185)",132
"(-79.87221,-2.07322)",181
"(-79.8942,-2.13162)",126
"(-79.88345,-2.14235)",34
"(-79.840505,-2.072269)",132
"(-80.203354,-2.290324)",394
"(-79.84679,-2.07394)",137
"(-79.88591,-2.129575)",129
"(-79.897465,-2.183238)",355
"(-79.832507,-2.068402)",147
"(-79.866172,-2.122169)",319
"(-79.834755,-2.072997)",172
"(-79.882214,-2.133741)",210
"(-79.896809,-2.168107)",383
"(-79.838135,-2.072545)",177
"(-79.872814,-2.105634)",442
"(-79.882654,-2.140532)",191
"(-79.895497,-2.163477)",174
"(-79.883248,-2.184165)",327
"(-79.882731,-2.12373)",452
"(-79.883677,-2.13321)",223
"(-79.887076,-2.155859)",37
"(-79.892387,-2.166832)",158
"(-79.89604,-2.167176)",366
"(-79.884354,-2.143694)",181
"(-79.866294,-2.120792)",128
"(-79.894475,-2.13188)",160
"(-79.841477,-2.072035)",174
"(-79.833684,-2.067162)",438
"(-79.83368,-2.068087)",157
