coordenadas,id_trayectoria
"(-79.891732,-2.16401)",451
"(-79.847029,-2.073967)",169
"(-79.847294,-2.073995)",227
"(-79.873727,-2.073285)",140
"(-79.885979,-2.128982)",157
"(-79.868765,-2.123679)",190
"(-79.865802,-2.121809)",394
"(-79.892564,-2.167705)",384
"(-79.895647,-2.163774)",224
"(-79.897076,-2.179696)",492
"(-79.872569,-2.106735)",22
"(-79.890187,-2.161294)",451
"(-79.87385,-2.092972)",203
"(-79.8929653,-2.1280216)",544
"(-79.9002383,-2.1788564)",622
"(-79.9001677,-2.1788777)",620
"(-79.886357,-2.147955)",125
"(-79.867694,-2.12301)",157
"(-79.873909,-2.100024)",154
"(-79.873345,-2.071269)",389
"(-79.865747,-2.074144)",146
"(-79.878084,-2.126227)",210
"(-79.88385,-2.1279)",207
"(-79.9002992,-2.1785922)",640
"(-79.9002999,-2.1785931)",580
"(-80.30173,-2.365312)",393
"(-79.895415,-2.132326)",207
"(-79.9002404,-2.1788559)",577
"(-79.892225,-2.167769)",67
"(-79.889185,-2.131825)",445
"(-79.88287,-2.140949)",184
"(-79.872744,-2.105892)",152
"(-79.868115,-2.123352)",407
"(-79.864854,-2.074197)",453
"(-79.896031,-2.182896)",490
"(-79.900049,-2.244382)",347
"(-79.895692,-2.132182)",223
"(-79.871587,-2.111914)",65
"(-79.88545,-2.129286)",156
"(-79.886325,-2.154354)",169
"(-79.869782,-2.073564)",439
"(-79.872237,-2.107994)",58
"(-79.886144,-2.152902)",226
"(-79.873255,-2.103637)",445
"(-79.931871,-2.126912)",481
"(-79.868699,-2.116447)",173
"(-79.872159,-2.073154)",432
"(-79.833675,-2.068714)",184
"(-79.873872,-2.125662)",220
"(-79.873857,-2.094337)",26
"(-79.904557,-2.16008)",471
"(-79.883955,-2.127987)",210
"(-79.906134,-2.174197)",494
"(-79.836199,-2.073089)",190
"(-79.86783,-2.073817)",437
"(-79.883347,-2.127477)",127
"(-79.803526,-2.168872)",459
"(-79.88432,-2.128287)",201
"(-79.882519,-2.126854)",442
"(-79.894715,-2.167919)",147
"(-79.853419,-2.075772)",454
"(-79.900286,-2.1785521)",602
